tau,bandwidth,power,outcome,y_mean
0.108,MSE-optimal,0.440651402873529,quality,13.2784468212836
0.108,"(15, 17)",0.685079528132639,quality,13.2784468212836
0.109,MSE-optimal,0.447267340965618,quality,13.2784468212836
0.109,"(15, 17)",0.693065893874367,quality,13.2784468212836
0.11,MSE-optimal,0.453898357102827,quality,13.2784468212836
0.11,"(15, 17)",0.700961718352399,quality,13.2784468212836
0.111,MSE-optimal,0.460542596770058,quality,13.2784468212836
0.111,"(15, 17)",0.70876403473554,quality,13.2784468212836
0.112,MSE-optimal,0.467198195605531,quality,13.2784468212836
0.112,"(15, 17)",0.716470006742523,quality,13.2784468212836
0.113,MSE-optimal,0.47386328089221,quality,13.2784468212836
0.113,"(15, 17)",0.724076931351164,quality,13.2784468212836
0.114,MSE-optimal,0.480535973064121,quality,13.2784468212836
0.114,"(15, 17)",0.731582241206054,quality,13.2784468212836
0.115,MSE-optimal,0.487214387225357,quality,13.2784468212836
0.115,"(15, 17)",0.738983506722273,quality,13.2784468212836
0.116,MSE-optimal,0.49389663467952,quality,13.2784468212836
0.116,"(15, 17)",0.746278437883585,quality,13.2784468212836
0.117,MSE-optimal,0.500580824467367,quality,13.2784468212836
0.117,"(15, 17)",0.753464885734531,quality,13.2784468212836
0.118,MSE-optimal,0.507265064910366,quality,13.2784468212836
0.118,"(15, 17)",0.760540843566808,quality,13.2784468212836
0.119,MSE-optimal,0.513947465157921,quality,13.2784468212836
0.119,"(15, 17)",0.767504447801224,quality,13.2784468212836
0.12,MSE-optimal,0.520626136735955,quality,13.2784468212836
0.12,"(15, 17)",0.774353978567472,quality,13.2784468212836
0.121,MSE-optimal,0.527299195094605,quality,13.2784468212836
0.121,"(15, 17)",0.781087859984834,quality,13.2784468212836
0.122,MSE-optimal,0.533964761152742,quality,13.2784468212836
0.122,"(15, 17)",0.787704660147818,quality,13.2784468212836
0.123,MSE-optimal,0.540620962837059,quality,13.2784468212836
0.123,"(15, 17)",0.794203090821543,quality,13.2784468212836
0.124,MSE-optimal,0.547265936613485,quality,13.2784468212836
0.124,"(15, 17)",0.800582006852531,quality,13.2784468212836
0.125,MSE-optimal,0.553897829008695,quality,13.2784468212836
0.125,"(15, 17)",0.806840405301299,quality,13.2784468212836
0.126,MSE-optimal,0.560514798119511,quality,13.2784468212836
0.126,"(15, 17)",0.812977424303925,quality,13.2784468212836
0.127,MSE-optimal,0.567115015108023,quality,13.2784468212836
0.127,"(15, 17)",0.818992341670422,quality,13.2784468212836
0.128,MSE-optimal,0.573696665680271,quality,13.2784468212836
0.128,"(15, 17)",0.824884573228435,quality,13.2784468212836
0.129,MSE-optimal,0.580257951546399,quality,13.2784468212836
0.129,"(15, 17)",0.830653670921379,quality,13.2784468212836
0.13,MSE-optimal,0.586797091860191,quality,13.2784468212836
0.13,"(15, 17)",0.836299320670714,quality,13.2784468212836
0.131,MSE-optimal,0.593312324635968,quality,13.2784468212836
0.131,"(15, 17)",0.84182134001256,quality,13.2784468212836
0.132,MSE-optimal,0.599801908140873,quality,13.2784468212836
0.132,"(15, 17)",0.847219675519355,quality,13.2784468212836
