tau,bandwidth,power,outcome,y_mean
0.0425,MSE-optimal,0.999941624550551,enrol_year_bac_all_0914,0.943976945244957
0.0425,"(15, 17)",0.999999802486677,enrol_year_bac_all_0914,0.943976945244957
0.043,MSE-optimal,0.999955952051091,enrol_year_bac_all_0914,0.943976945244957
0.043,"(15, 17)",0.999999872546893,enrol_year_bac_all_0914,0.943976945244957
0.0435,MSE-optimal,0.99996691068175,enrol_year_bac_all_0914,0.943976945244957
0.0435,"(15, 17)",0.999999918299435,enrol_year_bac_all_0914,0.943976945244957
0.044,MSE-optimal,0.999975253482878,enrol_year_bac_all_0914,0.943976945244957
0.044,"(15, 17)",0.999999947974308,enrol_year_bac_all_0914,0.943976945244957
0.0445,MSE-optimal,0.999981575231709,enrol_year_bac_all_0914,0.943976945244957
0.0445,"(15, 17)",0.999999967090105,enrol_year_bac_all_0914,0.943976945244957
0.045,MSE-optimal,0.999986343188675,enrol_year_bac_all_0914,0.943976945244957
0.045,"(15, 17)",0.999999979320087,enrol_year_bac_all_0914,0.943976945244957
0.0455,MSE-optimal,0.999989922480935,enrol_year_bac_all_0914,0.943976945244957
0.0455,"(15, 17)",0.999999987091305,enrol_year_bac_all_0914,0.943976945244957
0.046,MSE-optimal,0.999992596914043,enrol_year_bac_all_0914,0.943976945244957
0.046,"(15, 17)",0.999999991995665,enrol_year_bac_all_0914,0.943976945244957
0.0465,MSE-optimal,0.999994585919902,enrol_year_bac_all_0914,0.943976945244957
0.0465,"(15, 17)",0.999999995069676,enrol_year_bac_all_0914,0.943976945244957
0.047,MSE-optimal,0.999996058266744,enrol_year_bac_all_0914,0.943976945244957
0.047,"(15, 17)",0.999999996983308,enrol_year_bac_all_0914,0.943976945244957
0.0475,MSE-optimal,0.999997143077393,enrol_year_bac_all_0914,0.943976945244957
0.0475,"(15, 17)",0.999999998166462,enrol_year_bac_all_0914,0.943976945244957
0.048,MSE-optimal,0.999997938627418,enrol_year_bac_all_0914,0.943976945244957
0.048,"(15, 17)",0.999999998892992,enrol_year_bac_all_0914,0.943976945244957
0.0485,MSE-optimal,0.999998519326035,enrol_year_bac_all_0914,0.943976945244957
0.0485,"(15, 17)",0.999999999336087,enrol_year_bac_all_0914,0.943976945244957
0.049,MSE-optimal,0.999998941220505,enrol_year_bac_all_0914,0.943976945244957
0.049,"(15, 17)",0.999999999604479,enrol_year_bac_all_0914,0.943976945244957
0.0495,MSE-optimal,0.999999246309553,enrol_year_bac_all_0914,0.943976945244957
0.0495,"(15, 17)",0.999999999765941,enrol_year_bac_all_0914,0.943976945244957
0.05,MSE-optimal,0.999999465902884,enrol_year_bac_all_0914,0.943976945244957
0.05,"(15, 17)",0.999999999862414,enrol_year_bac_all_0914,0.943976945244957
0.0505,MSE-optimal,0.999999623221971,enrol_year_bac_all_0914,0.943976945244957
