coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,donut,controls,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper,gender,mean_y,outcome,bandwidth,variable,value,value_lab,pcs_depp,exagt_name,echelon_gp,income_quint,n_obs,pct,var_group,coef_lab,ci_lower_final,ci_upper_final,outcome_lab
-0.241402612969445,-0.31379073043759,0.371493231400979,0.427138504087746,0.515810443794093,0.462562050935408,1709,1584,1,0.605174695568299,1.3208829912075,16,TRUE,FALSE,"","",-0.969529346515364,0.486724120576474,-1.15098219844957,0.523400737574393,,3.98595505617978,tot_enrol_yrs,mse,High-School Track,Technologique,Technologic,,Technologique,,,1068,0.123112391930836,High-School Track,-0.241$^{}$,-1.15098219844957,0.523400737574393,"Number of
Years in HE"
0.0260306287175496,0.0394913712214926,0.0622256259034697,0.0760959641571253,0.675708412062827,0.603783048346464,32822,24728,1,1.13828863084315,2.21563398158702,16,TRUE,FALSE,"","",-0.0959315980532511,0.14799285548835,-0.109656718526473,0.188639460969458,,6.0408341840455,tot_enrol_yrs,mse,High-School Track,Générale,General,,Générale,,,6857,0.790432276657061,High-School Track,0.026$^{}$,-0.109656718526473,0.188639460969458,"Number of
Years in HE"
0.0529758640710911,0.034217594932195,0.310042458934677,0.373283109053798,0.864328752924525,0.926962931800788,1586,910,1,0.672965459044257,1.36171550642504,16,TRUE,FALSE,"","",-0.554707355440876,0.660659083583058,-0.697417298813249,0.765852488677639,,2.38133333333333,tot_enrol_yrs,mse,High-School Track,Professionnelle,Professionnal,,Professionnelle,,,750,0.0864553314121038,High-School Track,0.053$^{}$,-0.697417298813249,0.765852488677639,"Number of
Years in HE"
-0.0123447964047525,-0.310598439263005,0.157871627521782,0.470877442648305,0.937672815864901,0.509500087597187,4839,2193,1,1,1,16,TRUE,FALSE,"","",-0.321773186347445,0.29708359353794,-1.23351822685368,0.612321348327673,,3.98595505617978,tot_enrol_yrs,"(15, 17)",High-School Track,Technologique,Technologic,,Technologique,,,1068,0.123112391930836,High-School Track,-0.012$^{}$,-0.321773186347445,0.29708359353794,"Number of
Years in HE"
0.0188059690135436,0.0889180009444033,0.0721311588017982,0.219571088636136,0.79430915482515,0.685505263484941,26639,22058,1,1,1,16,TRUE,FALSE,"","",-0.122571102237981,0.160183040265068,-0.341441332782424,0.519277334671231,,6.0408341840455,tot_enrol_yrs,"(15, 17)",High-School Track,Générale,General,,Générale,,,6857,0.790432276657061,High-School Track,0.019$^{}$,-0.122571102237981,0.160183040265068,"Number of
Years in HE"
0.103373550463066,0.0363364134326369,0.168192608709692,0.481438861079662,0.538809594061037,0.939837092978241,3756,1106,1,1,1,16,TRUE,FALSE,"","",-0.226283962607931,0.433031063534063,-0.907283754283501,0.979956581148775,,2.38133333333333,tot_enrol_yrs,"(15, 17)",High-School Track,Professionnelle,Professionnal,,Professionnelle,,,750,0.0864553314121038,High-School Track,0.103$^{}$,-0.226283962607931,0.433031063534063,"Number of
Years in HE"
0.0318073495022055,0.0498755752604687,0.275956007185481,0.322642995209642,0.908237146396917,0.877148965648694,1709,1584,1,0.603961890720818,1.28221502039711,16,TRUE,FALSE,"","",-0.509066424581337,0.572681123585748,-0.58250469535043,0.682255845871368,,3.45037453183521,max_enrol_degetu,mse,High-School Track,Technologique,Technologic,,Technologique,,,1068,0.123112391930836,High-School Track,0.032$^{}$,-0.58250469535043,0.682255845871368,"Highest Level of
Study Attained"
-0.0622136703635086,-0.0691235595254316,0.0352870456812689,0.0432427971073719,0.0778880212424741,0.109932011024865,29031,22981,1,1.04014505243009,2.02400713433436,16,TRUE,FALSE,*,"",-0.131376279898796,0.00694893917177857,-0.15387944185588,0.0156323228050173,,4.68528511010646,max_enrol_degetu,mse,High-School Track,Générale,General,,Générale,,,6857,0.790432276657061,High-School Track,-0.062$^{}$,-0.15387944185588,0.0156323228050173,"Highest Level of
Study Attained"
0.0860934324089149,0.0698964211182291,0.265571219962221,0.318859333555023,0.7458001826952,0.826488257650023,1468,896,1,0.651555113418287,1.32583762395609,16,TRUE,FALSE,"","",-0.434426158717038,0.606613023534868,-0.555067872649615,0.694860714886073,,2.22666666666667,max_enrol_degetu,mse,High-School Track,Professionnelle,Professionnal,,Professionnelle,,,750,0.0864553314121038,High-School Track,0.086$^{}$,-0.555067872649615,0.694860714886073,"Highest Level of
Study Attained"
0.0716488916232798,0.1361102938454,0.117474211691759,0.350525704782599,0.541920327232238,0.697791582897954,4839,2193,1,1,1,16,TRUE,FALSE,"","",-0.158600563292568,0.301898346539128,-0.550920087528494,0.823140675219294,,3.45037453183521,max_enrol_degetu,"(15, 17)",High-School Track,Technologique,Technologic,,Technologique,,,1068,0.123112391930836,High-School Track,0.072$^{}$,-0.158600563292568,0.301898346539128,"Highest Level of
Study Attained"
-0.0631421663387908,-0.084832756415075,0.0370520489524495,0.113547599716423,0.0883534853370019,0.454996052410984,26639,22058,1,1,1,16,TRUE,FALSE,*,"",-0.135764182285592,0.00947984960801021,-0.307386051859265,0.137720539029115,,4.68528511010646,max_enrol_degetu,"(15, 17)",High-School Track,Générale,General,,Générale,,,6857,0.790432276657061,High-School Track,-0.063$^{*}$,-0.135764182285592,0.00947984960801021,"Highest Level of
Study Attained"
0.019543706718725,0.13055224219005,0.136960649028586,0.38696392944596,0.886530449243425,0.735833670131142,3756,1106,1,1,1,16,TRUE,FALSE,"","",-0.248899165377303,0.287986578814753,-0.627897059524031,0.889001543904131,,2.22666666666667,max_enrol_degetu,"(15, 17)",High-School Track,Professionnelle,Professionnal,,Professionnelle,,,750,0.0864553314121038,High-School Track,0.02$^{}$,-0.248899165377303,0.287986578814753,"Highest Level of
Study Attained"
0.0105647702286529,0.0157654845260242,0.0560141442267141,0.0678124758519517,0.850399299429042,0.816160178782687,1835,1351,1,0.774572018977849,1.56939530272486,16,TRUE,FALSE,"","",-0.0992229524557067,0.120352492913013,-0.117146968143801,0.148677937195849,,,grad_anytime_all,mse,High-School Track,Technologique,Technologic,,Technologique,,,1068,0.123112391930836,High-School Track,0.011$^{}$,-0.117146968143801,0.148677937195849,"Obtaining
Degree"
-0.0182052437239055,-0.0225513414177843,0.0158554112344264,0.0186965826869712,0.250884433283878,0.227750211024885,14014,16521,1,0.716826361519204,1.55852302697634,16,TRUE,FALSE,"","",-0.0492818497433812,0.0128713622955702,-0.0591966434842479,0.0140939606486794,,,grad_anytime_all,mse,High-School Track,Générale,General,,Générale,,,6857,0.790432276657061,High-School Track,-0.018$^{}$,-0.0591966434842479,0.0140939606486794,"Obtaining
Degree"
-0.395663862584542,-0.393874617979154,0.325145629258385,0.363755892232161,0.223649116301235,0.278897525490016,229,248,1,0.481657299373115,1.05689267735371,16,TRUE,FALSE,"","",-1.03294929593098,0.241621570761892,-1.10683616675419,0.319086930795881,,,grad_anytime_all,mse,High-School Track,Professionnelle,Professionnal,,Professionnelle,,,750,0.0864553314121038,High-School Track,-0.396$^{}$,-1.10683616675419,0.319086930795881,"Obtaining
Degree"
0.0133318664080941,0.0352218657560703,0.0381207329095867,0.119476441270211,0.72654325691098,0.768145318092063,3100,1547,1,1,1,16,TRUE,FALSE,"","",-0.0613847700946958,0.0880485029108841,-0.198951959133544,0.269395690645685,,,grad_anytime_all,"(15, 17)",High-School Track,Technologique,Technologic,,Technologique,,,1068,0.123112391930836,High-School Track,0.013$^{}$,-0.0613847700946958,0.0880485029108841,"Obtaining
Degree"
-0.0175345109038925,-0.0117105345588073,0.00970675630078699,0.02960223086787,0.0708522423139008,0.692402828299905,25840,21566,1,1,1,16,TRUE,FALSE,*,"",-0.036559753253435,0.00149073144565004,-0.0697309070598324,0.0463098379422178,,,grad_anytime_all,"(15, 17)",High-School Track,Générale,General,,Générale,,,6857,0.790432276657061,High-School Track,-0.018$^{*}$,-0.036559753253435,0.00149073144565004,"Obtaining
Degree"
-0.00535147667057145,-0.00304090846199057,0.0790829957611956,0.215802644393848,0.946049032214981,0.988757257227175,1352,376,1,1,1,16,TRUE,FALSE,"","",-0.160354148362515,0.149651195021372,-0.426014091473932,0.419932274549951,,,grad_anytime_all,"(15, 17)",High-School Track,Professionnelle,Professionnal,,Professionnelle,,,750,0.0864553314121038,High-School Track,-0.005$^{}$,-0.160354148362515,0.149651195021372,"Obtaining
Degree"
