coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,donut,controls,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper,pcs_depp,mean_y,outcome,bandwidth
-0.013373155982418,-0.0204341770360901,0.0302417592360125,0.0364787640778335,0.658338503408856,0.575365960033817,7885,5183,1,0.8941144813138,1.80763766274038,16,TRUE,FALSE,"","",-0.0726470040850024,0.0459006921201665,-0.0919325546286437,0.0510642005564636,Low SES,0.531347265451312,enrol_3_ontime_all_0914,mse
0.0191422555581637,0.0119163947675707,0.0300648453667283,0.0361763369891692,0.524320955888056,0.741855261257701,7806,6536,1,0.840143124508922,1.73340723414054,16,TRUE,FALSE,"","",-0.0397848413606237,0.0780693524769512,-0.058989225731201,0.0828220152663423,Middle SES,0.567925262748151,enrol_3_ontime_all_0914,mse
0.0124884079250498,0.0101035776944407,0.0263781870795728,0.0327058454933523,0.635901487311169,0.757380338044167,7551,4842,1,1.18305850607716,2.23260515830634,16,TRUE,FALSE,"","",-0.0392128387509129,0.0641896546010125,-0.0539998794725297,0.0742070348614112,High SES,0.591382904794997,enrol_3_ontime_all_0914,mse
-0.0498653272900369,-0.0455931106046952,0.113029784985949,0.137717621309424,0.659090076968714,0.740597437810822,662,571,1,0.731640126569143,1.46585045186571,16,TRUE,FALSE,"","",-0.271403705862497,0.171673051282423,-0.315519648371167,0.224333427161777,Missing,0.481848184818482,enrol_3_ontime_all_0914,mse
0.0173871614223027,0.0843474639969446,0.025807016125894,0.0798932866207628,0.500478046347956,0.291081722681147,8244,7672,1,1,1,16,TRUE,FALSE,"","",-0.0331945901844496,0.067968913029055,-0.0722433777797504,0.24093830577364,Very High SES,0.583451536643026,enrol_3_ontime_all_0914,"(15, 17)"
-0.0178416114478812,0.0220900949348546,0.0260897742386923,0.07914572113243,0.494067001183561,0.780163000755959,9601,5502,1,1,1,16,TRUE,FALSE,"","",-0.0689775689557182,0.0332943460599558,-0.133035518484708,0.177215708354417,Low SES,0.531347265451312,enrol_3_ontime_all_0914,"(15, 17)"
0.00792544947749452,0.0646962749693874,0.0237600117322775,0.0719328195257946,0.738709701742292,0.368440400973232,10549,7279,1,1,1,16,TRUE,FALSE,"","",-0.0386441735177693,0.0544950724727584,-0.0762920513011701,0.205684601239945,Middle SES,0.567925262748151,enrol_3_ontime_all_0914,"(15, 17)"
0.0255487518585202,0.120410523352927,0.0319675133618082,0.0991353586835237,0.424168735966327,0.224515930218212,5610,4200,1,1,1,16,TRUE,FALSE,"","",-0.0371075743306238,0.0882050780476643,-0.0738947796667792,0.314715826372634,High SES,0.591382904794997,enrol_3_ontime_all_0914,"(15, 17)"
-0.0573841100327015,-0.0173501500511388,0.0716919061449173,0.212510541620506,0.423463663609668,0.934930037927692,1230,704,1,1,1,16,TRUE,FALSE,"","",-0.197900246076739,0.0831320260113363,-0.433870811627331,0.399170511525053,Missing,0.481848184818482,enrol_3_ontime_all_0914,"(15, 17)"
-0.0202454678240342,-0.018184946331901,0.0177738196588712,0.0219954128093811,0.254677641466642,0.408372620497605,8238,7672,1,0.984126799116388,1.94008057778547,16,TRUE,FALSE,"","",-0.0550821543554218,0.0145912187073533,-0.0612959554382881,0.024926062774486,Very High SES,0.864775413711584,enrol_3_anytime_all_0914,mse
