coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,donut,controls,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper,exagt_name,mean_y,outcome,bandwidth
-0.0123447964047667,-0.310598439263099,0.157871627521782,0.470877442648321,0.937672815864829,0.509500087597073,4839,2193,1,1,1,16,TRUE,FALSE,"","",-0.321773186347459,0.297083593537925,-1.23351822685381,0.612321348327609,Technologique,3.98595505617978,tot_enrol_yrs,"(15, 17)"
0.103373550463069,0.0363364134326449,0.168192608709692,0.481438861079637,0.538809594061023,0.939837092978225,3756,1106,1,1,1,16,TRUE,FALSE,"","",-0.226283962607927,0.433031063534066,-0.907283754283443,0.979956581148733,Professionnelle,2.38133333333333,tot_enrol_yrs,"(15, 17)"
-0.0622136703628282,-0.0691235595224775,0.0352870456797744,0.0432427971058322,0.0778880212331327,0.1099320110274,29031,22981,1,1.04014505246701,2.02400713436255,16,TRUE,FALSE,*,"",-0.131376279895186,0.00694893916952957,-0.153879441849909,0.0156323228049536,Générale,4.68528511010646,max_enrol_degetu,mse
0.0318073495016193,0.049875575262563,0.275956007185484,0.322642995209625,0.908237146398602,0.87714896564357,1709,1584,1,0.603961890720831,1.2822150203969,16,TRUE,FALSE,"","",-0.50906642458193,0.572681123585169,-0.582504695348302,0.682255845873428,Technologique,3.45037453183521,max_enrol_degetu,mse
0.0860934324091058,0.0698964211184459,0.265571219961785,0.318859333554565,0.745800182694254,0.826488257649248,1468,896,1,0.651555113418752,1.32583762395682,16,TRUE,FALSE,"","",-0.434426158715993,0.606613023534205,-0.555067872648501,0.694860714885393,Professionnelle,2.22666666666667,max_enrol_degetu,mse
-0.0631421663387908,-0.0848327564152704,0.0370520489524494,0.113547599716427,0.0883534853370008,0.454996052409959,26639,22058,1,1,1,16,TRUE,FALSE,*,"",-0.135764182285592,0.00947984960800996,-0.307386051859467,0.137720539028926,Générale,4.68528511010646,max_enrol_degetu,"(15, 17)"
0.0716488916232887,0.136110293845551,0.117474211691759,0.350525704782589,0.541920327232189,0.697791582897627,4839,2193,1,1,1,16,TRUE,FALSE,"","",-0.15860056329256,0.301898346539137,-0.550920087528322,0.823140675219424,Technologique,3.45037453183521,max_enrol_degetu,"(15, 17)"
0.0195437067187294,0.130552242190061,0.136960649028586,0.386963929445966,0.886530449243399,0.735833670131126,3756,1106,1,1,1,16,TRUE,FALSE,"","",-0.248899165377298,0.287986578814757,-0.627897059524033,0.889001543904154,Professionnelle,2.22666666666667,max_enrol_degetu,"(15, 17)"
-0.0120603423210639,-0.0223935246721001,0.0357564506459425,0.0402882384621084,0.735897262655116,0.57832515586861,9502,13827,1,0.586926403918205,1.36237837464987,16,TRUE,FALSE,"","",-0.0821429855871112,0.0580223009449834,-0.101358472057833,0.0565714227136324,Générale,0.642921281053577,grad_5_all,mse
0.0139877912006883,0.0187178192178032,0.0835743714849895,0.0995788128783472,0.867079412190878,0.850900249096544,1348,1210,1,0.675719484696307,1.39976710490084,16,TRUE,FALSE,"","",-0.149817976909891,0.177793559311268,-0.176456654023757,0.213892292459364,Technologique,0.696480938416422,grad_5_all,mse
-0.0166104720131692,0.00736956502144981,0.179634906780405,0.210689027678721,0.926326252369868,0.972096964878111,389,285,1,0.589641707581111,1.23106493448388,16,TRUE,FALSE,"","",-0.368694889302763,0.335473945276424,-0.405580929228844,0.420320059271743,Professionnelle,0.323076923076923,grad_5_all,mse
-0.0223656510504655,-0.0233498324109276,0.0142036498983086,0.0435846675324697,0.11533930791543,0.592141701974827,25840,21566,1,1,1,16,TRUE,FALSE,"","",-0.0502048048511504,0.0054735027502194,-0.108775780774568,0.062076115952713,Générale,0.642921281053577,grad_5_all,"(15, 17)"
-0.042610234275577,0.0670460489602771,0.0443166381398303,0.1345241410019,0.33630324432856,0.618206238020471,3100,1547,1,1,1,16,TRUE,FALSE,"","",-0.129470845029644,0.0442503764784904,-0.196621267403446,0.330713365324001,Technologique,0.696480938416422,grad_5_all,"(15, 17)"
0.0232097143656349,0.134063482057469,0.0775662368814905,0.210665721143258,0.764768797032167,0.524528679227474,1352,376,1,1,1,16,TRUE,FALSE,"","",-0.128820109922087,0.175239538653356,-0.278841331383317,0.546968295498254,Professionnelle,0.323076923076923,grad_5_all,"(15, 17)"
-0.0136818119958457,-0.0178356330025844,0.017061943554306,0.0204706541960614,0.422616249433279,0.383602316931845,16748,17641,1,0.774148902041716,1.63095126276925,16,TRUE,FALSE,"","",-0.0471232213622855,0.0197595973705941,-0.0579581152268647,0.0222868492216959,Générale,0.801706076025142,grad_7_all,mse
0.00252219352611971,0.00452863720532548,0.0378965166900765,0.0469007091452243,0.946936163122058,0.92307743658693,3286,1588,1,1.02958074188576,1.95882729489173,16,TRUE,FALSE,"","",-0.0717549791864302,0.0767993662386696,-0.0873967527193142,0.0964540271299652,Technologique,0.774193548387097,grad_7_all,mse
-0.298845817645136,-0.290808785283785,0.278153625597273,0.315626130431411,0.282647368738012,0.356856727908832,260,255,1,0.506209658759144,1.09378814402568,16,TRUE,FALSE,"","",-0.844026923815792,0.24633528852552,-0.909436000929352,0.327818430361781,Professionnelle,0.353846153846154,grad_7_all,mse
-0.0181397289423153,-0.00544848593657243,0.0118511377586992,0.0364937575742784,0.125860404846409,0.881317608651196,25840,21566,1,1,1,16,TRUE,FALSE,"","",-0.0413679589493657,0.00508850106473509,-0.0769762507821581,0.0660792789090133,Générale,0.801706076025142,grad_7_all,"(15, 17)"
