coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,donut,controls,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper,outcome,placebo,mean_y,bandwidth
0.000278828403126319,0.00362538565806148,0.00987221700961473,0.0114225320798515,0.977467745778139,0.750948477801706,57708,35942,1,0.949621208833072,2.08975929937466,15,TRUE,FALSE,"","",-0.0190707169357186,0.0196283737419712,-0.0187627772184475,0.0260135485345704,enrol_2_ontime_all_0914,Grade 15,0.679,MSE-optimal
0.0425873878069273,0.045583393545056,0.00673998045863545,0.00712775663680282,0.00000000026390616395036,0.000000000160342604719276,65712,82357,1,0.692118216323712,1.89692411483363,14,FALSE,FALSE,***,***,0.0293770261080018,0.0557977495058528,0.0316129905369225,0.0595537965531896,enrol_2_ontime_all_0914,Grade 14,0.628,MSE-optimal
-0.000297547942617271,0.00197937120851033,0.00696229047318033,0.0082128892408531,0.965911123549631,0.809548991806534,107195,82756,1,1.06556259916078,2.26076241496478,14,TRUE,FALSE,"","",-0.0139436372700507,0.0133485413848162,-0.0141178917035618,0.0180766341205824,enrol_2_ontime_all_0914,Grade 14,0.628,MSE-optimal
0.0902253238131135,0.0946776374621547,0.0110859025801251,0.0116137290298225,0.000000000000000399399253282922,0.000000000000000357312839665952,30326,53367,1,0.518366423742172,1.51092494916745,16,FALSE,FALSE,***,***,0.0684969547560684,0.111953692870159,0.0719147285637026,0.117440546360607,enrol_2_ontime_all_0914,Grade 16 Not Eligible to Need-Based Grant,0.562,MSE-optimal
-0.00698246687396575,-0.00617554470773141,0.0111514366910608,0.0137507044525483,0.53121686564094,0.653354099465321,56453,49994,1,0.828860451498019,1.65379436667566,16,TRUE,FALSE,"","",-0.0288392827884448,0.0148743490405133,-0.033126925434726,0.0207758360192632,enrol_2_ontime_all_0914,Grade 16 Not Eligible to Need-Based Grant,0.562,MSE-optimal
0.00952805042459404,0.0111886837453996,0.00409636766727129,0.0047108672935738,0.0200198630510392,0.0175451767773813,102424,45764,1,1.01636017181617,1.73687291048963,15,FALSE,FALSE,**,**,0.00149916979674231,0.0175569310524458,0.00195538384999495,0.0204219836408043,enrol_2_anytime_all_0914,Grade 15,0.852,MSE-optimal
-0.00127676419997069,-0.00178549359753788,0.00528034973348879,0.00650679898610628,0.808938714589264,0.783773941645933,96034,54867,1,1.2846653912748,2.42394662649674,15,TRUE,FALSE,"","",-0.0116262496776087,0.00907272127766734,-0.0145388196103062,0.0109678324152304,enrol_2_anytime_all_0914,Grade 15,0.852,MSE-optimal
0.067641355810561,0.0704297974186375,0.00672194799148522,0.00700379081344801,0.00000000000000000000000807027304701436,0.00000000000000000000000864798253724383,49010,73745,1,0.57426904636142,1.73789594438284,14,FALSE,FALSE,***,***,0.0544663377472499,0.080816373873872,0.0567023674242794,0.0841572274129956,enrol_2_anytime_all_0914,Grade 14,0.809,MSE-optimal
0.00302424432418347,0.00402604951659225,0.0063083790079024,0.00772486516092255,0.631653255999298,0.602240998213392,90702,77609,1,0.970244821699175,1.95458822620919,14,TRUE,FALSE,"","",-0.00934017853130524,0.0153886671796722,-0.011114686198816,0.0191667852320004,enrol_2_anytime_all_0914,Grade 14,0.809,MSE-optimal
0.186506956107707,0.191357021740338,0.0146272512859938,0.0149729051436036,0.000000000000000000000000000000000000309158198917802,0.000000000000000000000000000000000000211470517162648,16836,44993,1,0.378522838491109,1.32567479177133,16,FALSE,FALSE,***,***,0.157837543587159,0.215176368628255,0.162010127658875,0.220703915821801,enrol_2_anytime_all_0914,Grade 16 Not Eligible to Need-Based Grant,0.718,MSE-optimal
-0.00940949347530884,-0.00995795305024583,0.0102848253615527,0.0126401563585997,0.360248890245642,0.43081194830047,54193,49883,1,0.810271049185729,1.63199772597248,16,TRUE,FALSE,"","",-0.0295677511839522,0.0107487642333345,-0.0347326595131013,0.0148167534126096,enrol_2_anytime_all_0914,Grade 16 Not Eligible to Need-Based Grant,0.718,MSE-optimal
0.00689196949786841,0.00869667920583506,0.00629226712778167,0.00726445964055527,0.273381795229372,0.231246412736286,83147,40858,1,0.96258938579231,1.59830161926831,15,FALSE,FALSE,"","",-0.00544087407258367,0.0192248130683205,-0.00554166168965327,0.0229350201013234,enrol_3_ontime_all_0914,Grade 15,0.475,MSE-optimal
0.00928540588218629,0.00986142786780264,0.00836898130529735,0.0106093194791779,0.267213456170551,0.352626831487097,84597,49056,1,1.11584936879553,2.11531986971197,15,TRUE,FALSE,"","",-0.00711779747619652,0.0256886092405691,-0.0109328383113861,0.0306556940469914,enrol_3_ontime_all_0914,Grade 15,0.475,MSE-optimal
0.113542415005427,0.117213213723175,0.0084671317914447,0.00873926752597516,0.0000000000000000000000000000000000000000529923860847019,0.00000000000000000000000000000000000000005126186842641,40981,67823,1,0.503027936606703,1.65018999528805,14,FALSE,FALSE,***,***,0.0969468366941951,0.130137993316658,0.100084249372263,0.134342178074086,enrol_3_ontime_all_0914,Grade 14,0.395,MSE-optimal
0.00272689267483739,-0.000257820193217739,0.00789202686050774,0.00916525081209361,0.729699710013598,0.977558320115844,90702,77609,1,0.973219223103328,2.11991425633937,14,TRUE,FALSE,"","",-0.0127414799717578,0.0181952653214326,-0.0182217117849212,0.0177060713984857,enrol_3_ontime_all_0914,Grade 14,0.395,MSE-optimal
0.105075200183367,0.109750425338659,0.0115826258956236,0.0120606108241127,0.000000000000000000117072900196443,0.000000000000000000090410007897232,27522,51776,1,0.489693820628934,1.48343641858269,16,FALSE,FALSE,***,***,0.082373253427945,0.12777714693879,0.086111628123398,0.13338922255392,enrol_3_ontime_all_0914,Grade 16 Not Eligible to Need-Based Grant,0.463,MSE-optimal
-0.00169868641863014,-0.000485864318079843,0.00662925808730489,0.00812205674625382,0.797764903478079,0.952298713642845,121106,70512,1,1.28323573872782,2.44290739348773,16,TRUE,FALSE,"","",-0.0146920322697477,0.0112946594324875,-0.0164050955407373,0.0154333669045776,enrol_3_ontime_all_0914,Grade 16 Not Eligible to Need-Based Grant,0.463,MSE-optimal
0.00882213995009917,0.0110527009252355,0.0057149710149098,0.00646194810199021,0.122663605071056,0.0871866438337477,61756,39526,1,0.798966496830719,1.48355888298341,15,FALSE,FALSE,"",*,-0.00237920323912404,0.0200234831393224,-0.00161271735466533,0.0237181192051363,enrol_3_anytime_all_0914,Grade 15,0.715,MSE-optimal
0.00776584104627442,0.00434703293772554,0.00918066185954264,0.0103041504981168,0.397613443982139,0.673118423099879,62645,35954,1,0.95731233610445,2.28142005443035,15,TRUE,FALSE,"","",-0.0102282561984292,0.025759938290978,-0.0158491020385834,0.0245431679140344,enrol_3_anytime_all_0914,Grade 15,0.715,MSE-optimal
0.129666422746418,0.133207849166388,0.00824431716541507,0.00848100152194776,0.0000000000000000000000000000000000000000000000000000000972709574877061,0.000000000000000000000000000000000000000000000000000000136256991589633,42131,69836,1,0.525291359207369,1.78691193661651,14,FALSE,FALSE,***,***,0.113507561102205,0.145825284390632,0.11658508618337,0.149830612149405,enrol_3_anytime_all_0914,Grade 14,0.632,MSE-optimal
0.0104275056168033,0.00649784100147555,0.00954620493883446,0.0106666684431375,0.274692700891623,0.542410111185555,70089,67849,1,0.830762054643895,2.01569801805028,14,TRUE,FALSE,"","",-0.00828305606331226,0.0291380672969188,-0.014408829147074,0.0274045111500251,enrol_3_anytime_all_0914,Grade 14,0.632,MSE-optimal
0.203447961495863,0.208539828614963,0.0162794691729633,0.0166443903072357,0.00000000000000000000000000000000000773164334025649,0.00000000000000000000000000000000000517231185551577,12914,42949,1,0.346794824127552,1.22018841941653,16,FALSE,FALSE,***,***,0.171540201916855,0.235355721074871,0.175916823612781,0.241162833617145,enrol_3_anytime_all_0914,Grade 16 Not Eligible to Need-Based Grant,0.691,MSE-optimal
-0.00429122839941964,-0.00482862988496668,0.0110819028782805,0.0135787137305592,0.698587068153303,0.722137976837507,50692,48470,1,0.784181673156679,1.58958366795917,16,TRUE,FALSE,"","",-0.0260117580408494,0.0174293012420102,-0.0314429087968627,0.0217856490269294,enrol_3_anytime_all_0914,Grade 16 Not Eligible to Need-Based Grant,0.691,MSE-optimal
0.0262172086008263,0.0269506674216657,0.0187826267819269,0.0221151717473608,0.16276802477943,0.222976833349333,76491,38288,1,0.959945947091336,1.50175491246769,15,FALSE,FALSE,"","",-0.0105967398917504,0.0630311570934031,-0.0163950692031613,0.0702964040464928,quality,Grade 15,12.693,MSE-optimal
0.056936853232699,0.0445156748843871,0.0364553563335981,0.044151047059147,0.118329438295941,0.313330310700009,41073,32845,1,0.821904774777575,1.65509572290529,15,TRUE,FALSE,"","",-0.0145156451811532,0.128389351646551,-0.042020377351541,0.131051727120315,quality,Grade 15,12.693,MSE-optimal
0.131979697631783,0.139513647368467,0.0173176690409193,0.0185813595273279,0.0000000000000251521849964803,0.000000000000059919178845776,48376,69905,1,0.60749789354335,1.53603290652152,14,FALSE,FALSE,***,***,0.098037066311581,0.165922328951985,0.103094182694905,0.17593311204203,quality,Grade 14,12.261,MSE-optimal
-0.0350278648957669,-0.0453734808569948,0.0238929298380836,0.0270243744885735,0.142638826116808,0.0931552451428033,60939,61777,1,0.815516028901367,1.93429450495464,14,TRUE,FALSE,"",*,-0.0818580073784108,0.011802277586877,-0.0983412548545988,0.00759429314060926,quality,Grade 14,12.261,MSE-optimal
0.219669172079211,0.2382139450474,0.0424145364922695,0.0458152731812504,0.000000222957634804399,0.000000199885587770359,21991,40723,1,0.518802787130549,1.3185655845917,16,FALSE,FALSE,***,***,0.136536680554363,0.302801663604059,0.14841600961215,0.328011880482651,quality,Grade 16 Not Eligible to Need-Based Grant,13.765,MSE-optimal
0.0178861692171566,-0.00730261503611018,0.0643917067275618,0.0700276756857069,0.781187910310554,0.916945687047105,25528,32095,1,0.652410949054694,1.68437281345956,16,TRUE,FALSE,"","",-0.108321575968865,0.144093914403178,-0.144556859380096,0.129951629307875,quality,Grade 16 Not Eligible to Need-Based Grant,13.765,MSE-optimal
0.00828048229955769,0.00620622526458803,0.0190517205169764,0.022544004288493,0.663829757800869,0.78309050502106,72224,36927,1,0.956175785937798,1.47837983211711,15,FALSE,FALSE,"","",-0.029060889913716,0.0456218545128314,-0.0379800231408582,0.0503924736700343,quality_bacyear_plus1,Grade 15,12.735,MSE-optimal
