freq,id,year_bac_plus,echelon
70,153,3,"not enrolled + FA app.
but not eligible"
1182,154,1,0bis
1182,154,2,0
1182,154,3,
307,155,1,0bis
307,155,2,0bis
307,155,3,0
18890,156,1,0bis
18890,156,2,0bis
18890,156,3,0bis
1984,157,1,0bis
1984,157,2,0bis
1984,157,3,1
246,158,1,0bis
246,158,2,0bis
246,158,3,2
160,159,1,0bis
160,159,2,0bis
160,159,3,3
91,160,1,0bis
91,160,2,0bis
91,160,3,4
99,161,1,0bis
99,161,2,0bis
99,161,3,5
52,162,1,0bis
52,162,2,0bis
52,162,3,6
28,163,1,0bis
28,163,2,0bis
28,163,3,7
2566,164,1,0bis
2566,164,2,0bis
2566,164,3,"enrolled + FA app.
but not eligible"
502,165,1,0bis
502,165,2,0bis
502,165,3,"not enrolled + FA app.
but not eligible"
7967,166,1,0bis
7967,166,2,0bis
7967,166,3,
16,167,1,0bis
16,167,2,1
16,167,3,0
1435,168,1,0bis
1435,168,2,1
1435,168,3,0bis
1404,169,1,0bis
1404,169,2,1
1404,169,3,1
231,170,1,0bis
231,170,2,1
231,170,3,2
115,171,1,0bis
115,171,2,1
115,171,3,3
63,172,1,0bis
63,172,2,1
63,172,3,4
67,173,1,0bis
67,173,2,1
67,173,3,5
30,174,1,0bis
30,174,2,1
30,174,3,6
9,175,1,0bis
9,175,2,1
9,175,3,7
232,176,1,0bis
232,176,2,1
232,176,3,"enrolled + FA app.
but not eligible"
55,177,1,0bis
55,177,2,1
55,177,3,"not enrolled + FA app.
but not eligible"
1197,178,1,0bis
1197,178,2,1
1197,178,3,
1,179,1,0bis
1,179,2,2
1,179,3,0
114,180,1,0bis
114,180,2,2
114,180,3,0bis
178,181,1,0bis
178,181,2,2
178,181,3,1
138,182,1,0bis
138,182,2,2
138,182,3,2
61,183,1,0bis
61,183,2,2
61,183,3,3
33,184,1,0bis
33,184,2,2
33,184,3,4
24,185,1,0bis
24,185,2,2
24,185,3,5
11,186,1,0bis
11,186,2,2
11,186,3,6
1,187,1,0bis
1,187,2,2
1,187,3,7
56,188,1,0bis
56,188,2,2
56,188,3,"enrolled + FA app.
but not eligible"
10,189,1,0bis
10,189,2,2
10,189,3,"not enrolled + FA app.
but not eligible"
205,190,1,0bis
205,190,2,2
205,190,3,
1,191,1,0bis
1,191,2,3
1,191,3,0
79,192,1,0bis
79,192,2,3
79,192,3,0bis
64,193,1,0bis
64,193,2,3
64,193,3,1
70,194,1,0bis
70,194,2,3
70,194,3,2
79,195,1,0bis
79,195,2,3
79,195,3,3
49,196,1,0bis
49,196,2,3
49,196,3,4
31,197,1,0bis
31,197,2,3
31,197,3,5
8,198,1,0bis
8,198,2,3
8,198,3,6
2,199,1,0bis
2,199,2,3
2,199,3,7
31,200,1,0bis
31,200,2,3
31,200,3,"enrolled + FA app.
but not eligible"
8,201,1,0bis
8,201,2,3
8,201,3,"not enrolled + FA app.
but not eligible"
134,202,1,0bis
134,202,2,3
134,202,3,
1,203,1,0bis
1,203,2,4
1,203,3,0
33,204,1,0bis
33,204,2,4
33,204,3,0bis
22,205,1,0bis
22,205,2,4
22,205,3,1
19,206,1,0bis
19,206,2,4
19,206,3,2
52,207,1,0bis
52,207,2,4
52,207,3,3
53,208,1,0bis
53,208,2,4
53,208,3,4
47,209,1,0bis
47,209,2,4
47,209,3,5
13,210,1,0bis
13,210,2,4
13,210,3,6
2,211,1,0bis
2,211,2,4
2,211,3,7
16,212,1,0bis
16,212,2,4
16,212,3,"enrolled + FA app.
but not eligible"
6,213,1,0bis
6,213,2,4
6,213,3,"not enrolled + FA app.
but not eligible"
98,214,1,0bis
98,214,2,4
98,214,3,
20,215,1,0bis
20,215,2,5
20,215,3,0bis
22,216,1,0bis
22,216,2,5
22,216,3,1
14,217,1,0bis
14,217,2,5
14,217,3,2
24,218,1,0bis
24,218,2,5
24,218,3,3
48,219,1,0bis
48,219,2,5
48,219,3,4
106,220,1,0bis
106,220,2,5
106,220,3,5
34,221,1,0bis
34,221,2,5
34,221,3,6
6,222,1,0bis
6,222,2,5
6,222,3,7
16,223,1,0bis
16,223,2,5
16,223,3,"enrolled + FA app.
but not eligible"
6,224,1,0bis
6,224,2,5
6,224,3,"not enrolled + FA app.
but not eligible"
90,225,1,0bis
90,225,2,5
90,225,3,
13,226,1,0bis
13,226,2,6
13,226,3,0bis
17,227,1,0bis
17,227,2,6
17,227,3,1
3,228,1,0bis
3,228,2,6
3,228,3,2
6,229,1,0bis
6,229,2,6
6,229,3,3
