coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,donut,controls,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper,income_quint,mean_y,outcome,bandwidth
0.00100419699364118,-0.0010191963946562,0.0142043821984142,0.017429382349502,0.943639480859935,0.953369669460115,14480,7168,1,1.41398122607516,2.65905268089757,16,TRUE,FALSE,"","",-0.0268363921152506,0.0288447861025329,-0.03518078579968,0.0331423930103676,4,0.819919517102616,enrol_3_anytime_all_0914,mse
-0.0220711728477951,-0.0231932260213585,0.0167315544605408,0.02073516935623,0.187124108742418,0.26333417476576,9372,8787,1,0.919895436280485,1.82897557862037,16,TRUE,FALSE,"","",-0.0548650195904551,0.0107226738948649,-0.0638341579595694,0.0174477059168523,5,0.870772516909933,enrol_3_anytime_all_0914,mse
0.0455624024457961,0.0404533971704806,0.0321357306510882,0.10098239092003,0.156245860586074,0.688715729489341,4545,2748,1,1,1,16,TRUE,FALSE,"","",-0.0174236296303367,0.108548434521929,-0.157472089032778,0.238378883373739,1,0.733269598470363,enrol_3_anytime_all_0914,"(15, 17)"
-0.0375782797353872,0.00896101992549703,0.0282628783672089,0.0873470709431936,0.183650603664403,0.918287617272478,5422,3360,1,1,1,16,TRUE,FALSE,"","",-0.0929735213351167,0.0178169618643423,-0.162239239123162,0.180161278974156,2,0.785657998423956,enrol_3_anytime_all_0914,"(15, 17)"
-0.0417622205133021,0.00223634091926317,0.0243986774899019,0.0743274670662298,0.0869594937605957,0.975997127561412,6505,4276,1,1,1,16,TRUE,FALSE,*,"",-0.0895836283935099,0.0060591873669056,-0.143445494530547,0.147918176369074,3,0.802176696542894,enrol_3_anytime_all_0914,"(15, 17)"
-0.00157424090918701,0.0434228135344017,0.0207210016059799,0.0632378643350163,0.939440415639003,0.492297989742817,7918,5612,1,1,1,16,TRUE,FALSE,"","",-0.0421874040569077,0.0390389222385337,-0.0805234005622302,0.167369027631034,4,0.819919517102616,enrol_3_anytime_all_0914,"(15, 17)"
-0.0188245324738801,-0.0727656274658162,0.0150487170303939,0.0465210679213502,0.210968724907798,0.117783864886854,10836,9358,1,1,1,16,TRUE,FALSE,"","",-0.0483200178534521,0.010670952905692,-0.163946920591663,0.0184156656600302,5,0.870772516909933,enrol_3_anytime_all_0914,"(15, 17)"
0.36823140393296,0.419365181764995,0.156574580509943,0.182672600160693,0.0186830400428848,0.0216918835832523,3188,2403,1,0.862424405822115,1.85031616968636,16,TRUE,FALSE,**,**,0.0613452261334712,0.675117581732448,0.0613268854500369,0.777403478079953,1,12.9393847233498,quality,mse
0.088184212485146,0.0557776904517056,0.135112421418915,0.163775053681238,0.513967193355391,0.733423545441148,4084,2930,1,0.889366239570935,1.78157559689265,16,TRUE,FALSE,"","",-0.176636133495927,0.353004558466219,-0.26522141476352,0.376776795666931,2,13.0526733147785,quality,mse
-0.0641412592952264,-0.105907037817573,0.110590837966284,0.127905149321483,0.56192331770279,0.407663529917447,5534,3984,1,0.942779546280168,2.02602822611585,16,TRUE,FALSE,"","",-0.280899301709142,0.152616783118689,-0.35660113048768,0.144787054852534,3,13.1865877819839,quality,mse
-0.0471325418666098,-0.0800227116915551,0.102476972547315,0.121400519443799,0.645564309374669,0.509791203670399,6401,5097,1,0.916462362917526,1.91969948052938,16,TRUE,FALSE,"","",-0.247987408059348,0.153722324326128,-0.3179677298014,0.15792230641829,4,13.2576873724029,quality,mse
-0.0759183292397836,-0.109837151221782,0.0797083298514017,0.0899772315037165,0.340867982309527,0.222191441485022,9762,8757,1,0.967492789784228,2.29044062338299,16,TRUE,FALSE,"","",-0.232146655748531,0.0803099972689638,-0.286192524969067,0.066518222525502,5,13.5682928088765,quality,mse
0.332904639512709,0.635872439497469,0.127667976547753,0.379619966767656,0.009118439052244,0.0939295826818922,4238,2608,1,1,1,16,TRUE,FALSE,***,*,0.0826754054791122,0.583133873546305,-0.108182695367137,1.37992757436207,1,12.9393847233498,quality,"(15, 17)"
0.0513873766894406,0.355442621337588,0.116231796667475,0.347239801417695,0.658408755135105,0.30601341259559,5019,3189,1,1,1,16,TRUE,FALSE,"","",-0.176426944778809,0.279201698157691,-0.325147389441095,1.03603263211627,2,13.0526733147785,quality,"(15, 17)"
-0.0495168322771526,-0.225874811514782,0.102954280237171,0.306910183670056,0.630545330719922,0.461752675891062,6084,4080,1,1,1,16,TRUE,FALSE,"","",-0.251307221542008,0.152273556987703,-0.827418771508091,0.375669148478527,3,13.1865877819839,quality,"(15, 17)"
-0.0431801709381503,-0.173238830074638,0.0920341918748534,0.273162600205297,0.638944328632695,0.525952435943257,7407,5374,1,1,1,16,TRUE,FALSE,"","",-0.223567187012863,0.137206845136562,-0.70863752647702,0.362159866327744,4,13.2576873724029,quality,"(15, 17)"
-0.0702784614071277,-0.405894333961669,0.0765928175107712,0.231862355696762,0.358849569763254,0.0800177391101558,10249,8959,1,1,1,16,TRUE,FALSE,"",*,-0.220400383728239,0.0798434609139838,-0.860344551127323,0.0485558832039854,5,13.5682928088765,quality,"(15, 17)"
0.237596828933825,0.273986647374677,0.196715039742454,0.236230194043201,0.227115588243259,0.246118404000728,2362,2103,1,0.758321958351588,1.56009164980717,16,TRUE,FALSE,"","",-0.147964648961385,0.623158306829035,-0.189024532949997,0.736997827699352,1,13.0293646792816,quality_bacyear_plus1,mse
