coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper,variable,donut,bandwidth,mean_y,category,variable_lab
-0.0255676765477801,-0.0289976559499792,0.0347614696217503,0.0426454760874325,0.462024258001958,0.496523284812981,34964,34811,1,0.921710790133426,1.62511595107714,16,"","",-0.0937001570064108,0.0425648039108505,-0.112582789081347,0.0545874771813886,year_bac,No Donut,MSE-Optimal,2011.78847262248,Demographic,HS Grad. Year
-0.0212265775887772,-0.0861633355621052,0.0322971968175854,0.0645373466126711,0.511035209653998,0.181846032626363,39274,35879,1,1,1,16,"","",-0.0845290833512446,0.0420759281736902,-0.21265653492294,0.0403298637987301,year_bac,No Donut,"(15, 17)",2011.78847262248,Demographic,HS Grad. Year
-0.0109443312785515,-0.011921968113711,0.0384045676907808,0.0476413445481052,0.775663502687649,0.802398538798851,37589,24826,1,0.967738700402694,1.70289905566742,16,"","",-0.0862172839524819,0.0643286213953788,-0.105299003427997,0.0814550672005752,year_bac,"Donut [15.95, 16.05]",MSE-Optimal,2011.78847262248,Demographic,HS Grad. Year
-0.00926703248114791,-0.0726824803941781,0.037370379671253,0.0744248876480797,0.804151418968467,0.328772974546228,39224,25357,1,1,1,16,"","",-0.0825129766368037,0.0639789116745079,-0.218555260184414,0.0731902993960581,year_bac,"Donut [15.95, 16.05]","(15, 17)",2011.78847262248,Demographic,HS Grad. Year
0.00773959091475263,0.0119968430235531,0.038807769102939,0.0480346048299497,0.841923220298347,0.802777461096561,37404,24826,1,0.965372398082934,1.72883730488812,16,"","",-0.0683236365270078,0.0838028183565131,-0.0821509824431483,0.106144668490254,year_bac,"Donut [15.9, 16.05]",MSE-Optimal,2011.78847262248,Demographic,HS Grad. Year
0.00832663642177067,-0.0163688135135089,0.0376642907896036,0.0774393584746363,0.825033966823564,0.832593966740122,39039,25357,1,1,1,16,"","",-0.0654953735258524,0.0821486463693938,-0.168149956123796,0.135412329096778,year_bac,"Donut [15.9, 16.05]","(15, 17)",2011.78847262248,Demographic,HS Grad. Year
0.0201236645116296,0.0275256955001169,0.0404412209562338,0.0497297068258504,0.618764034559173,0.579916912725023,36821,24824,1,0.950575207014979,1.75955568661556,16,"","",-0.0591411285625885,0.0993884575858477,-0.0699445298785499,0.124995920878784,year_bac,"Donut [15.85, 16.05]",MSE-Optimal,2011.78847262248,Demographic,HS Grad. Year
0.0200349052120146,0.0218883978950544,0.0385836339536249,0.0849345031156303,0.603580031516269,0.796631390342691,38605,25357,1,1,1,16,"","",-0.0555890173370902,0.0956588277611193,-0.144583228211581,0.18836002400169,year_bac,"Donut [15.85, 16.05]","(15, 17)",2011.78847262248,Demographic,HS Grad. Year
0.00582990992097621,0.00987560250723618,0.0413537538371048,0.051433047802727,0.88788846052436,0.847735240421137,36274,24826,1,0.967068459938188,1.7875684806379,16,"","",-0.0752234475997492,0.0868832674417016,-0.0909331711861087,0.110684376200581,year_bac,"Donut [15.8, 16.05]",MSE-Optimal,2011.78847262248,Demographic,HS Grad. Year
0.00654043588292552,-0.0336884021317019,0.0400236190138344,0.0962040145071594,0.870192161868041,0.726206108934683,37909,25357,1,1,1,16,"","",-0.0719058573841899,0.0849867291500409,-0.222248270565734,0.154871466302331,year_bac,"Donut [15.8, 16.05]","(15, 17)",2011.78847262248,Demographic,HS Grad. Year
0.0342117296650031,0.0446935400241273,0.0454346798204702,0.0553766336636665,0.451457641207077,0.419618661541676,33326,24294,1,0.935091354345578,1.83672332207992,16,"","",-0.0548402427831185,0.123263702113125,-0.0638446619566591,0.153231742004914,year_bac,"Donut [15.75, 16.05]",MSE-Optimal,2011.78847262248,Demographic,HS Grad. Year
0.031641470564864,0.0564036635159937,0.0421389911499687,0.112920261127329,0.452722808319156,0.617427229919304,36716,25357,1,1,1,16,"","",-0.0509509520890747,0.114233893218803,-0.164920048293572,0.277727375325559,year_bac,"Donut [15.75, 16.05]","(15, 17)",2011.78847262248,Demographic,HS Grad. Year
0.0339623221934744,0.0449070767554076,0.0486015525755761,0.0589850782333014,0.484682722430503,0.446460318788051,31952,24779,1,0.947464446184135,1.89953395878925,16,"","",-0.0612967208546548,0.129221365241604,-0.0707036765818632,0.160517830092678,year_bac,"Donut [15.7, 16.05]",MSE-Optimal,2011.78847262248,Demographic,HS Grad. Year
0.0316449327674491,0.0844691144930039,0.0453437688560121,0.138658092911596,0.485246403563631,0.542398551499151,35234,25357,1,1,1,16,"","",-0.0572288541903347,0.120518719725233,-0.187300747613725,0.356238976599732,year_bac,"Donut [15.7, 16.05]","(15, 17)",2011.78847262248,Demographic,HS Grad. Year
0.042095718683413,0.0544388804928531,0.0520657360901672,0.0625963061820569,0.418796494727286,0.384474213976194,31827,24826,1,0.961922599627614,1.96941244830889,16,"","",-0.0599531240533147,0.144144561420141,-0.0682498796239785,0.177127640609685,year_bac,"Donut [15.65, 16.05]",MSE-Optimal,2011.78847262248,Demographic,HS Grad. Year
