coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,donut,controls,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper,sample,outcome
0.00245535429678512,-0.10623154069453,0.0437619359428231,0.131822640610098,0.955256506424351,0.420319432416986,27536,22011,1,1,1,16,TRUE,FALSE,"","",-0.0833180401511482,0.0882287487447184,-0.364603916290323,0.152140834901262,conditional on enrollment,quality_bacyear_plus2
0.0217574449068163,-0.00214583757084519,0.0769237919598441,0.0908974142109022,0.777296305244752,0.981165892705113,30242,23793,1,0.903266470091991,1.90781098822625,16,TRUE,FALSE,"","",-0.129013187334478,0.172528077148111,-0.180304769424214,0.176013094282523,baseline,tot_enrol_yrs
0.039482755223748,0.0326764001474107,0.0762463965567094,0.0943512285324575,0.60457611912671,0.729096802617952,27172,22670,1,0.892416999594173,1.75262116774708,16,TRUE,FALSE,"","",-0.109960182027402,0.188925692474898,-0.152252007776206,0.217604808071027,conditional on enrollment,tot_enrol_yrs
0.0210064123056117,0.0895855099039071,0.0675111359511804,0.20455640432246,0.755682962062131,0.661422413483725,35234,25357,1,1,1,16,TRUE,FALSE,"","",-0.111315414158702,0.153328238769925,-0.311345042568114,0.490516062375928,baseline,tot_enrol_yrs
0.0400747513963253,0.0696836887854513,0.0658378103638691,0.199277382003474,0.542730595084776,0.726577456848925,33004,24213,1,1,1,16,TRUE,FALSE,"","",-0.0889673569168581,0.169116859709509,-0.320899979941357,0.46026735751226,conditional on enrollment,tot_enrol_yrs
-0.0287278525321213,-0.0407161060971593,0.0547564277048357,0.0653252981191239,0.599827883596173,0.533098986492466,22674,21461,1,0.78313535363648,1.65218399768731,16,TRUE,FALSE,"","",-0.136050450833599,0.0785947457693566,-0.168753690410642,0.0873214782163236,baseline,max_enrol_degetu
-0.058954348558748,-0.0700789347409589,0.0478082841305636,0.0570898585337807,0.2175232156747,0.219627264755902,22550,20612,1,0.806350115633932,1.69995088143477,16,TRUE,FALSE,"","",-0.152658585454653,0.0347498883371567,-0.181975057467169,0.0418171879852512,conditional on enrollment,max_enrol_degetu
-0.0434972187139682,0.0000312884437096983,0.0386544975605072,0.118899632922831,0.260469462852566,0.999790036644641,35234,25357,1,1,1,16,TRUE,FALSE,"","",-0.119260033932562,0.032265596504626,-0.233011992085039,0.233074568972459,baseline,max_enrol_degetu
-0.0474182987188687,-0.0946250198332308,0.035457958050664,0.108963813755798,0.181121313214711,0.385171156217073,33004,24213,1,1,1,16,TRUE,FALSE,"","",-0.11691589649817,0.0220792990604327,-0.308194094794596,0.118944055128134,conditional on enrollment,max_enrol_degetu
-0.00708835489617266,-0.0121843928858913,0.0298696988112192,0.0350360697876591,0.812416910640844,0.728015088850668,12066,15803,1,0.619077566558167,1.3384455276774,16,TRUE,FALSE,"","",-0.0656329645661622,0.0514562547738169,-0.0808550896697031,0.0564863038979204,baseline,grad_5_all
-0.0107734625111788,-0.0178181889877822,0.0310713804587049,0.0359505079578763,0.72879216868835,0.620154722531267,11258,14979,1,0.612425405155894,1.35422389642574,16,TRUE,FALSE,"","",-0.0716733682102404,0.0501264431878828,-0.0882811845852198,0.0526448066096554,conditional on enrollment,grad_5_all
-0.0234181307509245,-0.00411358674465268,0.0134224693931815,0.0410652936298425,0.0810377728333604,0.920207888016763,30292,23489,1,1,1,16,TRUE,FALSE,*,"",-0.0497261707615603,0.00288990925971135,-0.084601562259144,0.0763743887698387,baseline,grad_5_all
-0.0231905167484352,-0.0208110324813353,0.0136060024426486,0.0416178801101695,0.0883002617773179,0.617039676250854,28062,22345,1,1,1,16,TRUE,FALSE,*,"",-0.0498582815360265,0.00347724803915612,-0.102382077497268,0.0607600125345969,conditional on enrollment,grad_5_all
-0.0116710588587816,-0.0129430440240257,0.0153558114205422,0.0188646925829251,0.447229587618071,0.492650771482269,21038,20349,1,0.810967007649473,1.63637234093082,16,TRUE,FALSE,"","",-0.0417684492430444,0.0184263315254812,-0.0499178414865588,0.0240317534385074,baseline,grad_7_all
-0.0165341663340288,-0.0175443130164359,0.0145859033782602,0.0179900959721992,0.256974277009772,0.329450823031719,20390,19375,1,0.827379136110512,1.65822735854868,16,TRUE,FALSE,"","",-0.0451225369554187,0.0120542042873611,-0.0528049011219464,0.0177162750890746,conditional on enrollment,grad_7_all
-0.0173949869836652,0.00123523515001045,0.0114760458297989,0.0353856747275809,0.129578820874309,0.97215328132655,30292,23489,1,1,1,16,TRUE,FALSE,"","",-0.039888036810071,0.00509806284274071,-0.0681206873160481,0.070591157616069,baseline,grad_7_all
-0.017614102740914,-0.0153554277501942,0.0112518504479311,0.0346917565824642,0.117479651132339,0.6580372284279,28062,22345,1,1,1,16,TRUE,FALSE,"","",-0.039667729618859,0.00443952413703099,-0.083351270651824,0.0526404151514357,conditional on enrollment,grad_7_all
-0.00241515706190087,-0.0016100692936023,0.0149994231142976,0.01838184926317,0.872080276439592,0.930202415711206,20577,19804,1,0.797693043482749,1.61820011290482,16,TRUE,FALSE,"","",-0.0318140263659242,0.0269837122421225,-0.0376384938494155,0.0344183552622109,baseline,grad_9_all
-0.00760801554316526,-0.00642569060513099,0.0146825694241863,0.0179638485624428,0.604342108967287,0.720566917573037,19146,18812,1,0.791966196621661,1.61219069419316,16,TRUE,FALSE,"","",-0.0363858516145704,0.0211698205282398,-0.0416348337875188,0.0287834525772569,conditional on enrollment,grad_9_all
-0.0132952867694884,0.0238363510552455,0.0109101738652961,0.0336665019196123,0.22299086665983,0.478936630562328,30292,23489,1,1,1,16,TRUE,FALSE,"","",-0.0346792275454687,0.00808865400649186,-0.0421499927071946,0.0898226948176857,baseline,grad_9_all
