coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,donut,controls,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper,gender,mean_y,outcome,bandwidth
0.0371726522991693,0.0415030254824273,0.0632178706527971,0.0787330687263456,0.556526513138948,0.598099231819683,13323,12026,1,0.884080751155118,1.72704745803836,16,TRUE,FALSE,"","",-0.086734374180313,0.161079678778652,-0.11281378922121,0.195819840186065,Female,13.1521420603741,quality_bacyear_plus2,mse
0.011513256557528,-0.122124921626465,0.0687017814987339,0.206657120851743,0.866911278418563,0.554551017667971,11970,9422,1,1,1,16,TRUE,FALSE,"","",-0.12314223517999,0.146168748295046,-0.527172878495881,0.28292303524295,Male,13.6952947002349,quality_bacyear_plus2,"(15, 17)"
0.0376744504343591,-0.0237171924869983,0.054046592610666,0.162566391618135,0.485756763097421,0.884006372815031,16320,13099,1,1,1,16,TRUE,FALSE,"","",-0.0682568710825463,0.143605771951265,-0.342347320058544,0.294912935084547,Female,13.1521420603741,quality_bacyear_plus2,"(15, 17)"
0.0811100302553491,0.0643292487943068,0.07982840600958,0.0972024073002568,0.309603320480511,0.508094818991065,22250,12346,1,1.25925445914431,2.43219118000663,16,TRUE,FALSE,"","",-0.0753536455234276,0.237573706034126,-0.126187469514196,0.25484596710281,Male,5.48705369310439,tot_enrol_yrs,mse
-0.0282681667217197,-0.0479498575316981,0.107028506620243,0.130584395416764,0.791688910647081,0.713474022987186,16544,13635,1,0.873216979054572,1.75688631386714,16,TRUE,FALSE,"","",-0.238044039697395,0.181507706253956,-0.303895272548556,0.207995557485159,Female,5.46004794246904,tot_enrol_yrs,mse
0.0736003653516022,0.395048770521075,0.102554084499627,0.309837719682472,0.472958526804228,0.202302755789635,14691,10485,1,1,1,16,TRUE,FALSE,"","",-0.127405640267667,0.274606370970871,-0.21223316005657,1.00233070109872,Male,5.48705369310439,tot_enrol_yrs,"(15, 17)"
-0.0147297903942221,-0.131055429500304,0.0895462403195778,0.271799002672968,0.869342523424449,0.629679686781795,20543,14872,1,1,1,16,TRUE,FALSE,"","",-0.190240421420595,0.16078084063215,-0.663781474739321,0.401670615738713,Female,5.46004794246904,tot_enrol_yrs,"(15, 17)"
0.0245972235903853,-0.000152195819094203,0.0668476027273208,0.0764543781637047,0.71290328681865,0.998411672202595,12131,9817,1,0.898066137617951,2.0097219823794,16,TRUE,FALSE,"","",-0.106424077755164,0.155618524935934,-0.150002777019955,0.149698385381767,Male,4.33442354865086,max_enrol_degetu,mse
-0.0890305622077356,-0.0996774422876996,0.0719881240745352,0.0873180197020994,0.216183780132619,0.253643227847396,13849,12628,1,0.790316715598627,1.62449488232103,16,TRUE,FALSE,"","",-0.230127285393825,0.0520661609783532,-0.270820760903814,0.0714658763284153,Female,4.31062724730324,max_enrol_degetu,mse
0.00948337200457594,0.151692870054786,0.0579691818183952,0.178405501172864,0.870051288878266,0.395174915074254,14691,10485,1,1,1,16,TRUE,FALSE,"","",-0.104136224359479,0.123102968368631,-0.197981912244028,0.5013676523536,Male,4.33442354865086,max_enrol_degetu,"(15, 17)"
-0.0786293015434971,-0.106408577682945,0.0516598805007945,0.158997071622835,0.127994707839123,0.503336868414635,20543,14872,1,1,1,16,TRUE,FALSE,"","",-0.179882667325054,0.0226240642380601,-0.418042838063702,0.205225682697812,Female,4.31062724730324,max_enrol_degetu,"(15, 17)"
-0.028696103485931,-0.0388668045855174,0.0427662242222178,0.0500190283983,0.502221020606272,0.437134949983875,5620,6755,1,0.644674128125743,1.40752072950233,16,TRUE,FALSE,"","",-0.112517902961478,0.0551256959896159,-0.136904100246185,0.0591704910751506,Male,0.625978090766823,grad_5_all,mse
-0.0121140569344453,-0.0159155988990138,0.0211420503186656,0.0258386754051114,0.566655515417389,0.537920705539955,13785,12609,1,0.862354188624168,1.74139837220935,16,TRUE,FALSE,"","",-0.05355247555903,0.0293243616901393,-0.0665594026930323,0.0347282048950046,Female,0.644615037254459,grad_5_all,mse
-0.0343828274492495,-0.0314472747111345,0.0211455009881105,0.0645070809287596,0.103947212309837,0.625903243721148,12458,9681,1,1,1,16,TRUE,FALSE,"","",-0.075828009385946,0.00706235448744704,-0.157881153331503,0.0949866039092342,Male,0.625978090766823,grad_5_all,"(15, 17)"
-0.0169048665530833,0.0139851549869339,0.0173393183197189,0.053136552892459,0.329587976070838,0.792402025707393,17834,13808,1,1,1,16,TRUE,FALSE,"","",-0.0508899304597323,0.0170801973535657,-0.0901624886822858,0.118132798656154,Female,0.644615037254459,grad_5_all,"(15, 17)"
-0.00456918468459788,-0.00357797268285198,0.019537973385585,0.0242103079733326,0.815092307427816,0.882510742089622,10813,9109,1,0.91676220846211,1.80199931921866,16,TRUE,FALSE,"","",-0.0428636125203445,0.0337252431511488,-0.0510301763105838,0.0438742309448798,Male,0.797496087636933,grad_7_all,mse
-0.0195895986913488,-0.0227799910210866,0.0191061178435735,0.0233207168954,0.305219284082582,0.328661492887082,13221,12300,1,0.842974829573927,1.71196311950207,16,TRUE,FALSE,"","",-0.0570375896647528,0.0178583922820552,-0.0684885961360706,0.0229286140938973,Female,0.774215398509822,grad_7_all,mse
-0.00734189466405955,0.0273786196498467,0.0174696162489194,0.0539545507192911,0.67429077177962,0.611847134054609,12458,9681,1,1,1,16,TRUE,FALSE,"","",-0.0415823425119416,0.0268985531838225,-0.078372299759964,0.133129539059657,Male,0.797496087636933,grad_7_all,"(15, 17)"
-0.0230979124582815,-0.0151072782117132,0.0151487660800575,0.0466937903269918,0.127324242804257,0.746286817421421,17834,13808,1,1,1,16,TRUE,FALSE,"","",-0.0527894939751943,0.00659366905863127,-0.106627107252617,0.0764125508291907,Female,0.774215398509822,grad_7_all,"(15, 17)"
-0.00118962375666776,0.000197271116607833,0.0175099942309678,0.0216803603873862,0.945833635642505,0.992740092714521,11929,9482,1,0.961268873159738,1.88126768583656,16,TRUE,FALSE,"","",-0.0355092124493646,0.0331299649360291,-0.0422962352426692,0.0426907774758849,Male,0.821283255086072,grad_9_all,mse
-0.014324786262951,-0.0135426045324434,0.0192162400057774,0.0236367434436279,0.455998464265276,0.56668048597104,12338,11994,1,0.810302408808406,1.63514358523392,16,TRUE,FALSE,"","",-0.0519886166742747,0.0233390441483727,-0.0598706216819541,0.0327854126170674,Female,0.805373673515466,grad_9_all,mse
-0.0025195157715685,0.0616890643531214,0.0166696089575098,0.0516773126198123,0.879861916193421,0.232581284667749,12458,9681,1,1,1,16,TRUE,FALSE,"","",-0.0351919493282877,0.0301529177851507,-0.0395984683817107,0.162976597087953,Male,0.821283255086072,grad_9_all,"(15, 17)"
-0.0198090325499771,-0.00163001903183502,0.0143819626599626,0.0442555628893552,0.168403283984463,0.97061899256188,17834,13808,1,1,1,16,TRUE,FALSE,"","",-0.0479976793635039,0.00837961426354965,-0.0883709222949711,0.0851108842313011,Female,0.805373673515466,grad_9_all,"(15, 17)"
4.82219336323772,4.62809166991838,5.23397506586647,6.49134241725916,0.35688064437583,0.475868204349623,11314,6667,1,1.20474774061545,2.26476155295207,16,TRUE,FALSE,"","",-5.43639776586056,15.080784492336,-8.09493946790958,17.3511228077463,Male,258.674129353234,max_ects_credits,mse
-15.0941091921419,-16.7950357118415,7.45592980011519,8.80965063732667,0.0429245319177748,0.0565936530779269,7555,7999,1,0.729892567669994,1.56947922203128,16,TRUE,FALSE,**,*,-29.7077316003677,-0.480486783916131,-34.0619509610018,0.471879537318792,Female,275.464751184834,max_ects_credits,mse
4.46950569793398,5.30299157121317,6.47352647764867,20.0804021874413,0.489924902769832,0.79171217489733,8022,5838,1,1,1,16,TRUE,FALSE,"","",-8.2186061982574,17.1576175941254,-34.0545967161717,44.660579858598,Male,258.674129353234,max_ects_credits,"(15, 17)"
-12.673827170689,-17.9364370727478,4.65943503594429,14.2852894281117,0.0065274973255336,0.209265407445729,13600,10162,1,1,1,16,TRUE,FALSE,***,"",-21.8063198411398,-3.54133450023823,-45.9356043518467,10.0627302063511,Female,275.464751184834,max_ects_credits,"(15, 17)"
0.00550993209236572,-0.000992004375538036,0.0204326222259112,0.0240256447778775,0.78741915580397,0.96706518615939,12691,9889,1,0.918948808787073,1.95607400185797,16,TRUE,FALSE,"","",-0.0345380074704203,0.0455578716551518,-0.0480822681401779,0.0460982593891018,Male,0.691469065140365,master_anytime_all,mse
-0.0362840713983381,-0.0428809331059765,0.0211500721290439,0.0247360060113243,0.086243872272337,0.0829991798010705,14164,12961,1,0.817672683364141,1.78294558709824,16,TRUE,FALSE,*,*,-0.0777382127712642,0.00517006997458799,-0.0913635048881722,0.00560163867621917,Female,0.668797443068318,master_anytime_all,mse
